ID,name,city,address,opening_hours,lat,lon,rating,Обслуживание,Отношение к клиентам,Персонал,Время ожидания,Кредит,Банкомат,Расположение,Вклад,load_time
24038638411,Альфа-Банк,Дмитров,"Загорская ул., 24, Дмитров","'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",56.342311,37.51838,,,,,,,,,,2024-06-24 00:52:00
195453003221,Альфа-Банк,Дмитров,"Профессиональная ул., 7, Дмитров","'mon': 10:00-22:00, 'tue': 10:00-22:00, 'wed': 10:00-22:00, 'thu': 10:00-22:00, 'fri': 10:00-22:00, 'sat': 10:00-22:00, 'sun': 10:00-22:00",56.352572,37.520518,,0.0,0.0,,0.0,,,,,2024-06-24 00:52:00
151199915612,Альфа-Банк,Майкоп,"Советская ул., 199, Майкоп","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",44.605394,40.106804,"4,4",68.0,65.0,71.0,,,,,,2024-06-23 21:04:42
243253567111,Альфа-Банк,Чебаркуль,"ул. Ленина, 23, Чебаркуль","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",54.977232,60.364577,"4,5",83.0,80.0,,,,,,,2024-06-24 04:24:27
24250231930,Альфа-Банк,Новокуйбышевск,"ул. Миронова, 3, Новокуйбышевск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",53.096533,49.949501,"4,3",100.0,100.0,100.0,,,,,,2024-06-23 22:44:24
1176165471,Альфа-Банк,Прокопьевск,"ул. Шишкина, 11, Прокопьевск","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",53.875315,86.650325,"4,3",72.0,72.0,75.0,53.0,65.0,,,,2024-06-23 20:10:46
186068066518,Альфа-Банк,Кинель,"ул. Маяковского, 77/6, Кинель","'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",53.219565,50.643108,,,,,,,,,,2024-06-24 05:23:22
29095476588,Альфа-Банк,Кинель,"ул. Чехова, 5, Кинель","'mon': 07:30-23:30, 'tue': 07:30-23:30, 'wed': 07:30-23:30, 'thu': 07:30-23:30, 'fri': 07:30-23:30, 'sat': 07:30-23:30, 'sun': 07:30-23:30",53.22081,50.644088,,,,,,,,,,2024-06-24 05:23:22
207217458697,Альфа-Банк,Томск,"Комсомольский просп., 53, Томск","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",56.475678,84.980986,"4,8",87.0,86.0,91.0,84.0,76.0,,100.0,,2024-06-23 17:06:11
182138474693,Альфа-Банк,Томск,"Тверская ул., 18, Томск","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной",56.482926,84.971346,"4,5",89.0,88.0,95.0,85.0,82.0,,,,2024-06-23 17:06:11
150401836207,Альфа-Банк,Томск,"Красноармейская ул., 101А, Томск","'mon': 09:00-20:00, 'tue': 09:00-20:00, 'wed': 09:00-20:00, 'thu': 09:00-20:00, 'fri': 09:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",56.462526,84.965984,"4,6",87.0,85.0,89.0,87.0,74.0,,,,2024-06-23 17:06:11
124147436858,Альфа-Банк,Губкинский,"43, 12-й микрорайон, Губкинский","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",64.434624,76.508408,"4,5",89.0,88.0,82.0,,,,,,2024-06-24 10:57:59
228871289618,Альфа-Банк,Канск,"ул. 40 лет Октября, 62/4, Канск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",56.231898,95.701004,"4,3",63.0,68.0,68.0,57.0,,,,,2024-06-23 23:17:59
164389531646,Альфа-Банк,Арзамас,"просп. Ленина, 198, Арзамас","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",55.401703,43.834642,"4,5",95.0,95.0,100.0,,,,,,2024-06-23 22:14:28
152119562023,Альфа-Банк,Тимашевск,"Красная ул., 106, Тимашевск","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",45.613387,38.933532,"4,4",64.0,63.0,61.0,53.0,,,,,2024-06-24 03:10:33
142518814084,Альфа-Банк,Солнечногорск,"Почтовая ул., 9/2, Солнечногорск","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",56.185728,36.976328,"4,7",85.0,90.0,91.0,55.0,,,,,2024-06-24 03:12:37
17356003333,Альфа-Банк,Кольчугино,"ул. 3-го Интернационала, 65, Кольчугино","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",56.297343,39.379322,"4,6",92.0,,90.0,,,,,,2024-06-24 14:10:44
109805736525,Альфа-Банк,Соль-Илецк,"ул. Цвиллинга, 105А, Соль-Илецк","'mon': 00:00-23:59, 'tue': 00:00-23:59, 'wed': 00:00-23:59, 'thu': 00:00-23:59, 'fri': 00:00-23:59, 'sat': 00:00-23:59, 'sun': 00:00-23:59",51.158687,54.98057,,,,,,,,,,2024-06-24 16:45:58
3746928462,Альфа-Банк,Соль-Илецк,"Советская ул., 48, Соль-Илецк","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-18:00, 'sat': выходной, 'sun': выходной",51.163076,54.993271,,,,,,,,,,2024-06-24 16:45:58
238245742657,Альфа-Банк,Соль-Илецк,"Вокзальная ул., 81, Соль-Илецк","'mon': 08:00-22:00, 'tue': 08:00-22:00, 'wed': 08:00-22:00, 'thu': 08:00-22:00, 'fri': 08:00-22:00, 'sat': 08:00-22:00, 'sun': 08:00-22:00",51.170333,54.986544,,,,,,,,,,2024-06-24 16:45:58
71702481444,Альфа-Банк,Реж,"ул. Ленина, 5, Реж","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",57.372792,61.390651,"4,4",94.0,94.0,93.0,,,,,,2024-06-24 16:10:25
11589190202,Альфа-Банк,Арсеньев,"Калининская ул., 24, Арсеньев","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",44.16242,133.26921,"4,3",100.0,100.0,100.0,,,,,,2024-06-24 03:02:41
162226918436,Альфа-Банк,Смоленск,"ул. Николаева, 8, Смоленск","'mon': 09:00-19:00, 'tue': 09:00-19:00, 'wed': 09:00-19:00, 'thu': 09:00-19:00, 'fri': 09:00-19:00, 'sat': 10:00-18:00, 'sun': выходной",54.774068,32.042035,"4,6",76.0,73.0,80.0,62.0,72.0,60.0,92.0,,2024-06-23 18:26:10
166348763681,Альфа-Банк,Усолье-Сибирское,"ул. Орджоникидзе, 40, Усолье-Сибирское","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",52.75322,103.65681,"4,3",76.0,70.0,76.0,47.0,,,,,2024-06-24 00:00:44
242580843517,Альфа-Банк,Чернушка,"ул. Мира, 31, Чернушка","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': выходной, 'sun': выходной",56.515633,56.074574,"4,3",91.0,89.0,89.0,100.0,70.0,,,,2024-06-24 17:57:13
80940794246,Альфа-Банк,Пермь,"Комсомольский просп., 49, Пермь","'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",58.001343,56.247436,"4,5",76.0,72.0,78.0,76.0,67.0,75.0,100.0,,2024-06-23 16:25:09
199133622801,Альфа-Банк,Пермь,"ул. Ленина, 66, Пермь","'mon': 10:00-20:00, 'tue': 10:00-20:00, 'wed': 10:00-20:00, 'thu': 10:00-20:00, 'fri': 10:00-20:00, 'sat': 10:00-18:00, 'sun': выходной",58.008943,56.229129,"4,3",71.0,70.0,78.0,67.0,78.0,40.0,91.0,,2024-06-23 16:25:09
121145477976,Альфа-Банк,Пермь,"Уинская ул., 9, Пермь","'mon': 10:00-19:00, 'tue': 10:00-19:00, 'wed': 10:00-19:00, 'thu': 10:00-19:00, 'fri': 10:00-19:00, 'sat': 10:00-18:00, 'sun': выходной",58.006784,56.304597,"4,4",83.0,80.0,84.0,77.0,86.0,90.0,100.0,,2024-06-23 16:25:09
156790419524,Альфа-Банк,Пермь,"Пермская ул., 17, Пермь","'mon': 09:00-18:00, 'tue': 09:00-18:00, 'wed': 09:00-18:00, 'thu': 09:00-18:00, 'fri': 09:00-16:45, 'sat': выходной, 'sun': выходной",58.015056,56.255162,"4,7",98.0,97.0,97.0,90.0,100.0,,,,2024-06-23 16:25:09
